time,lat,lon,altitude
1589110980,52.4077,20.9585,0
1589111030,52.4097,20.9575,350
1589111080,52.4121,20.9566,700
1589111130,52.4146,20.9559,1050
1589111180,52.4172,20.9557,1400
1589111230,52.4198,20.956,1750
1589111280,52.4223,20.9574,2100
1589111330,52.4243,20.9598,2450
1589111380,52.4257,20.9629,2800
1589111430,52.4267,20.9667,3150
1589111480,52.4275,20.9708,3500
1589111530,52.4283,20.975,3850
1589111580,52.429,20.9792,4200
1589111630,52.4297,20.9835,4550
1589111680,52.4302,20.9882,4900
1589111730,52.4308,20.9933,5250
1589111780,52.4313,20.9992,5600
1589111830,52.4317,21.0061,5950
1589111880,52.4319,21.0138,6300
1589111930,52.4318,21.0221,6650
1589111980,52.4314,21.0307,7000
1589112030,52.4306,21.0398,7350
1589112080,52.4291,21.0493,7700
1589112130,52.4269,21.0592,8050
1589112180,52.4238,21.0693,8400
1589112230,52.4202,21.0797,8750
1589112280,52.4161,21.0908,9100
1589112330,52.4118,21.1026,9450
1589112380,52.4074,21.1146,9800
1589112430,52.4029,21.1267,10150
1589112480,52.3983,21.1388,10500
1589112530,52.3937,21.1514,10850
1589112580,52.3893,21.1645,11200
1589112630,52.3852,21.1777,11550
1589112680,52.3814,21.191,11900
1589112730,52.3778,21.204,12250
1589112780,52.3745,21.2166,12600
1589112830,52.3714,21.2288,12950
1589112880,52.3685,21.2404,13300
1589112930,52.3659,21.2514,13650
1589112980,52.3636,21.2616,14000
1589113030,52.3614,21.2712,14350
1589113080,52.3596,21.2799,14700
1589113130,52.3579,21.2881,15050
1589113180,52.3565,21.296,15400
1589113230,52.3554,21.3037,15750
1589113280,52.3545,21.3112,16100
1589113330,52.3538,21.3184,16450
1589113380,52.3533,21.325,16800
1589113430,52.3531,21.331,17150
1589113480,52.353,21.3365,17500
1589113530,52.3532,21.3414,17850
1589113580,52.3535,21.3457,18200
1589113630,52.3541,21.3494,18550
1589113680,52.3548,21.3527,18900
1589113730,52.3556,21.3555,19250
1589113780,52.3565,21.3581,19600
1589113830,52.3575,21.3602,19950
1589113880,52.3585,21.362,20300
1589113930,52.3597,21.3634,20650
1589113980,52.3608,21.3644,21000
1589114030,52.362,21.365,21350
1589114080,52.363,21.3652,21700
1589114130,52.3641,21.3651,22050
1589114180,52.3651,21.3645,22400
1589114230,52.366,21.3636,22750
1589114280,52.3669,21.3622,23100
1589114330,52.3677,21.3605,23450
1589114380,52.3685,21.3584,23800
1589114430,52.3692,21.3558,24150
1589114480,52.37,21.3527,24500
1589114530,52.3708,21.3491,24850
1589114580,52.3716,21.3448,25200
1589114630,52.3725,21.34,25550
1589114680,52.3735,21.3347,25900
1589114730,52.3746,21.3288,26250
1589114780,52.3757,21.3224,26600
1589114830,52.3768,21.3155,26950
1589114880,52.3779,21.3082,27300
1589114930,52.3791,21.3006,27650
1589114980,52.3802,21.2926,28000
1589115030,52.3813,21.2842,28350
1589115080,52.3824,21.2754,28700
1589115130,52.3835,21.2663,29050
1589115180,52.3846,21.2568,29400
1589115230,52.3857,21.2469,29750
1589115280,52.3868,21.2366,30100
1589115330,52.3879,21.2259,30450
1589115380,52.3889,21.2148,30800
1589115430,52.39,21.2039,28971.8
1589115480,52.3911,21.197,25333.2
1589115530,52.3919,21.1944,22554
1589115580,52.3929,21.1948,20277
1589115630,52.3937,21.1977,18346.4
1589115680,52.3936,21.2032,16670.6
1589115730,52.3926,21.2109,15190.1
1589115780,52.3908,21.2201,13864
1589115830,52.3881,21.2315,12663.1
1589115880,52.3848,21.2445,11565.8
1589115930,52.381,21.2576,10554.1
1589115980,52.377,21.2697,9604.82
1589116030,52.3735,21.2813,8707.73
1589116080,52.3709,21.292,7856.25
1589116130,52.3695,21.3015,7045.05
1589116180,52.3692,21.3098,6269.72
1589116230,52.3695,21.3168,5526.58
1589116280,52.3703,21.3224,4812.52
1589116330,52.3711,21.3271,4124.87
1589116380,52.3721,21.3315,3461.36
1589116430,52.373,21.3358,2819.99
1589116480,52.3745,21.3389,2199.01
1589116530,52.377,21.3409,1596.9
1589116580,52.3799,21.3408,1012.31
1589116630,52.3827,21.3397,444.018
1589116671,52.3845,21.3385,-10.5745
